contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250411C05715000,2025-04-11 11:51:55+00:00,5715.0,0.4,0.0,0.0,0.099999994,33.33333,20.0,364,0.2500075,False,REGULAR,USD
SPXW250411C05720000,2025-04-11 11:40:46+00:00,5720.0,0.42,0.0,0.0,-0.030000001,-6.666667,15.0,1564,0.2500075,False,REGULAR,USD
SPXW250411C05725000,2025-04-11 11:52:39+00:00,5725.0,0.3,0.0,0.0,0.050000012,20.000004,53.0,1254,0.2500075,False,REGULAR,USD
SPXW250411C05730000,2025-04-11 11:05:07+00:00,5730.0,0.5,0.25,0.3,0.0,0.0,40.0,667,0.6215858154296876,False,REGULAR,USD
SPXW250411C05735000,2025-04-11 10:57:31+00:00,5735.0,0.35,0.25,0.4,0.049999982,16.66666,47.0,309,0.63867548828125,False,REGULAR,USD
SPXW250411C05740000,2025-04-11 10:41:15+00:00,5740.0,0.5,0.25,0.35,0.25,100.0,27.0,323,0.63867548828125,False,REGULAR,USD
SPXW250411C05745000,2025-04-11 11:50:33+00:00,5745.0,0.3,0.0,0.0,-0.099999994,-24.999998,65.0,428,0.2500075,False,REGULAR,USD
SPXW250411C05750000,2025-04-11 11:33:48+00:00,5750.0,0.35,0.0,0.0,0.14999999,74.99999,16.0,3207,0.2500075,False,REGULAR,USD
SPXW250411C05755000,2025-04-11 11:55:49+00:00,5755.0,0.3,0.0,0.0,-0.099999994,-24.999998,2.0,264,0.2500075,False,REGULAR,USD
SPXW250411C05760000,2025-04-11 11:37:21+00:00,5760.0,0.35,0.15,0.3,-0.050000012,-12.500002,3.0,502,0.641605146484375,False,REGULAR,USD
SPXW250411C05765000,2025-04-11 11:52:23+00:00,5765.0,0.15,0.0,0.0,-0.25,-62.5,7.0,335,0.2500075,False,REGULAR,USD
SPXW250411C05770000,2025-04-11 11:16:02+00:00,5770.0,0.35,0.15,0.3,0.0,0.0,1.0,322,0.6528355029296876,False,REGULAR,USD
SPXW250411C05775000,2025-04-11 06:05:34+00:00,5775.0,0.1,0.0,0.0,-0.1,-50.0,1.0,1144,0.2500075,False,REGULAR,USD
SPXW250411C05780000,2025-04-11 11:12:47+00:00,5780.0,0.15,0.2,0.25,-0.15,-50.0,20.0,590,0.6640658593750002,False,REGULAR,USD
